Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,25.20,25.50,25.40,24.60,23.20,22.00,22.00,21.30,22.40,22.50,23.60,24.00
1963,25.60,26.10,25.30,24.50,23.50,22.30,21.40,21.20,21.60,22.20,23.80,24.60
1964,26.00,26.20,25.50,25.10,23.20,22.70,22.00,22.50,22.80,23.70,23.90,23.60
1965,24.80,25.40,24.70,24.30,23.80,21.90,21.00,21.00,20.80,22.60,23.70,24.50
1966,25.40,25.50,25.10,24.60,23.60,21.90,21.80,22.10,21.70,23.00,23.90,24.10
1967,25.80,25.70,25.60,24.70,22.90,22.90,21.50,21.10,22.60,22.10,23.50,23.70
1968,26.00,25.60,24.80,24.40,23.90,22.20,22.70,21.70,22.40,23.10,23.50,25.50
1969,26.20,26.60,26.60,25.40,22.50,23.10,22.00,21.60,21.60,22.90,23.90,24.60
1970,26.30,26.40,25.60,25.10,24.20,23.60,21.90,22.10,23.30,23.70,24.80,25.00
1971,25.70,25.30,25.70,25.50,23.30,22.60,22.40,21.70,22.60,23.00,24.00,25.10
1972,26.10,26.50,25.40,25.60,24.30,22.60,21.80,22.10,21.80,22.50,23.10,25.40
1973,26.00,27.00,26.80,26.20,24.50,23.20,22.50,22.70,23.70,23.00,25.00,25.70
1974,26.40,25.70,25.50,24.90,24.00,22.60,22.50,22.40,22.60,23.20,24.50,24.40
1975,25.60,25.80,25.50,24.40,23.30,22.40,22.80,22.30,23.20,23.20,24.20,25.20
1976,25.40,25.80,26.60,24.80,23.90,22.90,21.10,21.20,21.60,23.10,24.30,24.60
1977,25.60,26.60,26.90,25.40,23.70,22.20,21.00,21.10,21.70,22.70,23.50,24.80
1978,25.40,26.40,25.70,25.10,24.30,23.10,21.60,22.30,22.30,22.80,23.70,25.00
1979,25.10,26.30,25.70,25.10,24.40,23.30,21.60,21.80,22.70,23.00,23.10,24.20
1980,26.10,26.50,26.80,25.10,23.20,22.40,22.00,22.20,22.90,23.50,24.60,25.20
1981,25.90,26.60,25.80,24.90,23.20,23.20,22.50,22.10,23.10,23.10,24.80,24.90
1982,26.50,26.20,26.80,25.30,24.00,22.40,22.00,21.30,21.20,22.60,23.20,24.30
1983,25.70,27.10,26.40,24.80,24.40,22.30,21.60,21.00,22.90,23.20,24.10,25.30
1984,26.00,26.60,26.10,26.10,23.60,22.50,21.70,21.70,21.90,22.40,24.00,25.00
1985,25.80,26.50,26.60,25.00,24.20,22.20,22.00,22.40,21.70,23.00,24.10,25.60
1986,25.90,26.20,26.00,25.50,23.40,23.20,22.50,21.50,22.60,23.40,24.40,24.90
1987,25.80,26.50,26.00,25.50,23.40,21.90,20.60,20.80,21.70,22.30,24.30,25.40
1988,25.90,26.60,25.40,25.30,24.70,23.00,22.30,22.20,23.50,23.90,24.00,24.90
1989,25.70,26.40,26.30,26.00,24.20,23.20,22.20,22.30,22.90,23.90,23.50,24.30
1990,26.20,25.70,25.60,24.60,24.60,23.70,22.80,22.40,23.00,23.80,23.90,24.90
1991,26.30,26.70,26.80,25.80,23.70,22.80,22.10,22.30,21.50,23.00,25.50,25.10
1992,25.70,26.00,25.80,24.80,24.10,22.40,23.00,22.90,23.70,24.10,23.20,25.00
