Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,9.41,9.35,8.96,6.74,4.63,3.61,3.37,2.53,4.89,7.29,6.86,9.18
1963,8.56,10.75,7.79,4.86,4.17,3.32,2.57,1.63,2.01,4.79,6.45,10.10
1964,10.36,9.91,7.92,6.25,3.53,0.45,2.89,1.83,3.19,6.64,6.84,8.61
1965,10.40,9.91,10.10,6.20,3.70,3.73,2.25,3.43,4.27,5.54,8.67,7.40
1966,9.66,7.58,9.22,7.06,4.87,2.51,0.97,3.37,2.99,4.84,7.11,8.50
1967,8.59,9.51,8.30,6.96,4.06,2.80,2.60,2.13,3.46,4.84,8.47,9.10
1968,9.28,8.91,8.44,7.26,5.05,4.08,3.92,4.22,3.97,5.54,7.69,7.77
1969,8.65,9.31,8.66,7.16,3.63,2.67,2.07,3.33,4.09,4.37,6.96,9.50
1970,9.95,10.04,8.32,6.26,3.34,3.38,2.97,2.53,5.09,6.04,7.96,8.21
1971,7.75,8.15,7.84,6.44,3.17,1.99,1.67,3.33,4.79,6.24,7.28,7.09
1972,9.46,8.61,7.77,7.65,3.07,1.79,2.13,1.01,3.29,4.42,8.30,10.50
1973,8.45,9.56,9.53,5.36,3.90,1.83,0.51,3.23,4.59,6.34,6.96,9.00
1974,9.01,9.79,9.44,7.16,3.48,2.71,2.67,3.02,4.51,6.63,7.64,9.55
1975,10.31,9.62,9.32,7.13,5.09,3.35,1.39,2.53,4.29,6.57,6.76,7.60
1976,8.83,10.32,7.01,6.36,4.61,1.71,1.77,2.91,3.39,5.26,7.16,6.30
1977,9.60,9.63,8.58,6.96,4.36,3.28,0.67,1.85,3.09,5.84,7.95,10.30
1978,10.37,11.02,9.04,6.92,4.26,3.21,1.97,2.64,4.99,5.76,6.76,9.50
1979,11.46,10.91,9.54,8.56,3.78,4.00,3.07,2.81,3.69,5.14,6.10,9.69
1980,10.36,9.51,8.84,5.03,4.26,3.01,1.37,2.63,4.23,6.26,6.72,8.70
