Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,27.10,27.20,27.30,27.50,27.20,26.70,26.30,26.10,26.50,26.50,26.90,27.10
1963,27.10,27.20,27.10,27.30,27.00,27.00,26.50,26.30,26.60,26.50,26.90,27.60
1964,27.50,27.50,27.40,27.30,26.80,26.70,26.00,26.40,26.40,26.40,26.80,26.60
1965,26.80,27.00,26.90,26.80,26.70,26.30,26.10,25.60,26.10,26.10,26.50,27.30
1966,27.50,27.20,27.30,27.30,27.00,26.60,26.20,25.70,26.50,26.40,26.80,27.00
1967,27.00,26.90,27.20,26.80,26.60,26.20,25.90,25.90,26.60,26.20,26.50,27.10
1968,27.30,27.10,26.90,26.50,26.70,27.00,26.50,25.80,26.30,26.60,27.10,27.70
1969,27.60,27.70,27.80,27.40,26.90,27.20,26.00,25.80,26.20,26.70,27.40,27.30
1970,27.50,27.50,27.10,27.30,27.50,27.20,26.60,26.10,26.10,26.30,26.50,26.20
1971,26.60,26.50,26.50,26.90,26.90,26.60,25.90,26.10,26.20,26.40,27.00,27.00
1972,26.50,26.80,26.90,27.10,26.90,26.90,26.10,26.20,26.50,26.50,26.90,27.80
1973,27.60,27.80,27.80,27.50,27.10,26.90,26.40,26.40,26.60,26.10,26.50,26.90
1974,26.80,26.50,26.50,26.60,26.40,26.60,26.40,25.90,26.80,26.60,26.90,27.10
1975,27.10,26.90,27.10,27.00,26.90,26.60,26.50,26.20,26.60,26.70,26.80,26.80
1976,26.60,26.60,26.70,27.10,26.70,26.60,26.20,26.20,26.30,27.00,27.40,27.10
1977,27.50,27.60,27.10,27.30,26.60,26.80,26.30,26.00,25.90,26.40,26.90,27.90
1978,27.20,27.30,27.00,27.10,27.00,26.80,26.40,26.10,26.40,26.50,26.50,27.30
1979,27.10,27.60,27.50,27.20,27.30,27.20,26.20,26.10,26.70,27.00,27.00,27.10
1980,27.20,27.80,27.60,27.70,26.70,26.80,26.20,26.00,26.60,26.70,27.00,27.50
1981,27.70,27.30,27.20,27.10,27.20,26.80,26.20,26.20,26.60,26.50,27.30,27.60
1982,27.40,27.20,27.70,27.80,27.50,27.10,26.80,26.00,26.00,26.70,26.80,27.20
1983,27.40,27.80,27.30,27.40,27.40,26.90,26.30,25.90,26.80,26.70,27.20,27.40
1984,27.10,27.60,27.20,27.70,27.60,27.00,26.30,26.30,26.50,26.30,27.10,27.40
1985,27.10,27.70,27.30,27.50,27.20,26.80,26.40,26.50,26.60,27.00,27.40,27.80
1986,27.40,27.40,27.50,27.20,26.80,26.90,26.10,25.80,26.60,26.90,27.40,27.70
1987,27.50,27.80,27.30,27.40,26.50,25.90,25.90,25.60,26.00,26.60,27.60,27.90
1988,27.70,27.90,27.80,27.20,27.60,27.20,26.40,26.50,26.80,26.50,26.60,26.90
1989,26.70,26.70,26.80,27.00,27.00,26.60,26.10,26.40,27.00,27.10,27.10,27.20
1990,27.40,27.40,27.40,27.00,27.80,27.20,26.90,26.50,27.10,27.20,27.60,27.60
1991,27.50,27.70,27.70,27.80,27.00,26.90,27.00,26.70,26.50,26.80,27.40,27.60
1992,27.30,27.60,27.10,27.20,27.20,27.20,27.00,26.40,26.90,26.90,26.90,27.60
1993,27.30,27.30,26.90,27.20,27.30,26.80,25.90,26.10,26.10,26.30,27.60,28.00
1994,27.60,27.90,27.90,27.60,27.20,26.60,26.30,26.40,26.10,26.60,27.10,28.00
